key,value
err_trans_status_len,The length of Transaction Status must be greater than 4
err_trans_status_exist,Transaction Status is already existed
trans_status_search,Search Transaction Status
trans_status_add,Add Transaction Status
delete_trans_status_label,Delete Transaction Status?
trans_status_edit,Edit Transaction Status
success_trans_status_edit,Transaction Status has been successfully edited.
success_trans_status_add,Transaction has been successfully added.
success_trans_status_delete,Transaction Status has been successfully deleted.
trans_status,Transactions Status:
trans_status_yes_all_message,Are you sure to delete this Transaction Status?
shp_area_price,Price
err_shp_area_name,Please Shipping Area Name
shp_area_info,Shipping Area Information
shp_area_add,Add Shipping Area
err_shp_area_exist,Shipping area is already existed
success_shp_area_edit,Shipping Area has been edited.
shp_area_edit,Edit Shipping Area
success_shp_area_add,Shipping Area has been successfully added.
success_shp_area_delete,Shipping Area has been deleted.
shp_area_name,Area Name
shp_area_search,Search Shipping area
err_shp_area_len,The length of Shipping Area must be greater than 4
delete_shp_area_label,Delete Shipping Area?
shp_area_delete_confirm_message,Are you sure to delete this Shipping Area?
app_config_info,App Setting Information
success_app_config_edit,App Setting has been successfully updated.
app_configs_module,App Setting
module_group_lang,Module Group
group_name,Module Group Name
group_icon,Module Group Icon
group_lang_key,Language Key
group_info,Module Group Information
group_search,Search Module Group
group_add,Add Module Group
success_group_edit,Module Group has been successfully edited
success_group_add,Module Group has been successfully added
group_edit,Edit Module Group
success_group_delete,Module Group has been successfully deleted
err_group_name,Please provide module group
err_group_len,The length of Module Group Name must be greater than 4
err_group_exist,Module Group Name is already existed
module_lang,Module
module_desc,Description
module_ordering,Ordering
module_add,Add Module
module_info,Module Information
module_name,Module Name
is_show_on_menu,Is Show On Menu?
module_lang_key,Module Language Key
module_select_group,Select Module Group
delete_module_label,Delete Module?
module_delete_confirm_message,Are you sure to delete this Module?
delete_group_label,Delete Module Group?
group_delete_confirm_message,Are you sure to delete this Module Group?
err_module_name,Please provide module name
err_module_len,The length of Module Name must be greater than 4
err_module_exist,Module Name is already existed
module_search,Search Module Name
success_module_edit,Module has been successfully updated.
success_module_add,Module has been successfully added.
module_edit,Edit Module
success_module_delete,Module has been successfully deleted.
prd_ordering,Ordering
prd_ingredient,Ingredient
prd_nutrient,Nutrient
delete_system_user_label,Delete System User?
system_user_delete_confirm_message,Are you sure to delete this System User?
select_pay_status,Select Payment Status
select_deli_boy,Select Delivery Boy
color_code,Transaction Status Color
deli_status_ordering,Ordering
final_stage,Final Stage
final_stage_delete,Final stage is not able to delete.
start_stage_delete,Start stage is not able to delete.
fcm_api_key_deli_boy_label,Delivery Boy fcm api key
policy_info,Privacy Policy Information
content_label,Content
privacy_policy_module,Privacy Policy
success_policy_edit,Privacy Policy has been successfully updated
success_policy_add,Privacy Policy has been successfully added
not_yet_activate,Your account is not yet activate.
user_status,User Status
order_submit,Order Submitted
deliveried,Deliveried
price_level,Price Level
highlighted_info,Highlighted Information
delete_deliboy_label,Delete Delivery boy?
deliboy_delete_confirm_message,Are you sure to delete this Delivery Boy?
success_deliboy_delete,Delivery boy has been successfully deleted
restaurant_version,Flutter Restaurant Version
deliboy_version,Delivery Boy Version
err_user_phone_exist,User Phone is already exist.
banktransfer_label,[Option 3] : Payment With Bank Transfer
err_user_phone_exist,User Phone is already existed.
about_me,About Me
trans_prd_checkout,"Sorry, one of your selected products are not available in our system."
img_configuration,Image Configuration
land_width_label,Landscape Width
potrait_height_label,Potrait Height
square_label,Square Height
user_banned,"Sorry, Your account is banned."
err_user_not_existed,Your account is not existed in the system.
record_not_found,000##Sorry
no_record_pagination,10002##Sorry
email_verification_enabled, Email Verification Enabled?
minimum_order_amount, Minimum Order Amount
banusers_module,Ban Users List
btn_view,View
btn_back,Back
user_auto_approved, "Your new User Account has been created. Welcome to Flutter Restaurant."
reservation_lang_module,Reservations
restaurant_branches_module,Restaurant 
success_res_edit,Reservation has been successfully updated
success_res_add,Reservation has been successfully added
resv_info,Reserve Information
resv_date_label,Reserve Date (DD/MM/YYYY)
resv_time_label,Reserve Time (HH:MM) 24 Hours Format
reserved_by,Reserved By
resv_note,Additional Note
resv_status,Reservation Status
trans_delivery_pickup_date,Delivery Pickup Date : 
trans_delivery_pickup_time,Delivery Pickup Time : 
pickup_message,Pickup Message
pickup_label,[Option 6] : Payment With Pick Up
pickup_enabled,Is Enabled Pick Up?
cus_pick_up_order,Customer will pickup for this order.
success_logout,User has been successfully logout.
paystack_setting,Paystack Setting,,
paystack_label,[Option 7]: Payment with Paystack,,
paystack_key_label,Paystack Key,,
paystack_enabled_label,Is Paystack Enabled?,,
btn_duplicate,Duplicate
success_prd_duplicate_add,Duplicate Item has been successfully added,
err_lat,Provide Latitude,,
err_lng,Provide Longitude,,
err_lat_lng,Your Latitude and Longitude must not be 0.0,,
lat_invlaid,Latitude must be between -90 and 90 degrees inclusive.,,
lng_invlaid,Longitude must be between -180 and 180 degrees inclusive.,,
maximum_order, Maximum Order
pls_maximum_order, Please Maximum Order
deeplink_section,Deep Linking Section,,
dyn_link_key_label,Dynamic link key,,
dyn_link_url_label,Dynamic linking url,,
dyn_link_package_name_label,Dynamic linking package name,,
dyn_link_domain_label,Dynamic linking domain,,
dyn_link_deep_url_label,Deep linking url,,
prd_dynamic_link_label,Product Dynamic Link,,
prd_image, Product Image
dyn_link_package_name_ios, Dynamic linking IOS package name
dyn_link_ios_appstore_id,Dynamic Linking IOS AppStore Id
