key,valeur
pls_code,S'il vous plaît Entrez le code
pls_unit_price,S'il vous plaît Unité Prix
pls_shipping_cost,S'il vous plaît les frais de port
pls_minimum_order,S'il vous plaît Commande minimum
pls_prd_measurement,S'il vous plaît mesure Aliments
pls_prd_unit,S'il vous plaît Unité Aliments
pls_search_tag,S'il vous plaît Recherche Tag
pls_prd_desc,S'il vous plaît Description du Aliments
pls_shipping_name,S'il vous plaît Nom d'expédition Paquet
per_order_post,Par Cout
pls_sub_cat,S'il vous plaît Sous-catégorie Nom
pls_zone_name,Nom de la zone s'il vous plaît
success_reset_email_sent,Réinitialiser E-mail est envoyé avec succès
err_touch_count,Problème In Touch Count!
coupon_not_found,Votre code est valide.
require_user_id,ID d'utilisateur requis
require_platform,Plate-forme requise
file_na,Indisponible
token_already_exist,"Désolé, dispositif de jeton existent déjà."
err_noti_register,"Désolé, il y a le problème pour Push Enregistrement de notification."
success_noti_register,Votre appareil a enregistré avec succès pour la notification Push.
success_noti_unregister,Votre appareil désinscrit avec succès pour la notification Push.
err_noti_unregister,"Désolé, il y a le problème pour Push notification désinscription."
err_in_noti_read,"Désolé, la notification ne peut pas lire."
success_touch_count,Appuyez sur Compter avec succès inséré.
backend_setting_module,Réglage backend
backend_config_info_lable,Backend Informations de réglage
sender_name_label,Nom de l'expéditeur
receive_email_label,recevoir un courriel
sender_email_label,Email Sender
img_section,Section d'image
fcm_api_key_label,clé fcm api
backend_login_img,Backend Connexion Arrière-plan
backend_logo,backend Logo
backend_fav_icon,Backend Fav Ico
upload_backend_logo,Télécharger Backend Logo
upload_fav_icon,Télécharger Fav Icône
upload_login_img,Télécharger Connexion photo
pwd_reset_label,Réinitialisation du mot de passe
pwd_reset_link,S'il vous plaît cliquer sur le lien suivant pour réinitialiser votre mot de passe
reset_link_label,réinitialiser le mot de passe
best_regards_label,Meilleures salutations
hi_admin_label,salut Administrateur
name_label,Nom
email_label,Email
phone_label,Téléphone
msg_label,Message
bank_acc_label,Compte bancaire :
bank_name_label,Nom de banque :
bank_code_label,Code bancaire :
branch_code_label,code de la Direction générale
swift_code_label,Code rapide
pay_met_cod,Méthode de paiement: Paiement à la livraison
pay_met_paypal,Méthode de paiement: Paypal
pay_met_stripe,Méthode de paiement: Stripe
pay_met_bank,Mode de paiement: Virement bancaire <br>
price_label,Prix ​​:
unit_label,Unité
shipping_cost_label,Frais de port
qty_label,QTÉ
hi_label,salut
order_receive_info,Nouvel ordre est reçu des informations suivantes.
trans_code,Trans. Code
trans_status_label,Trans. Statut
billing_cus_name,Facturation Nom du client
billing_add1,Adresse de facturation 1
billing_add2,Adresse de facturation 2
billing_phone,Téléphone de facturation
billing_email,Email de facturation
billing_shipping_name,Facturation Nom d'expédition
shipping_add1,Adresse d'expédition 1
shipping_add2,Adresse d'expédition 2
shipping_phone,téléphone expédition
shipping_email,expédition Email
memo_label,Note
zone_shipping,zone d'expédition
prd_detail_info,Détails du Aliments ci-dessous des informations au
sub_total,sous-total
coupon_dis_amount,Coupon Montant (-)
overall_tax,Fiscale globale (+)
shipping_cost,Les frais d'envoi (+)
shipping_tax,Expédition Taxes (+)
total_bal_amt,Total Solde Montant
no_country_available,"Désolé, les pays d'expédition ne sont pas disponibles."
user_register_success_but_email_not_send,le succès du registre utilisateur mais pas envoyer email.
new_user_register,Enregistrement d'un nouveau compte utilisateur
verify_code_sent,Code de vérification a été envoyé
write_reply_label,Écrire une réponse...
success_backend_edit,Backend réglage a été mis à jour avec succès
topics_label,Les sujets
smtp_section,Configuration SMTP
smtp_host_label,hôte SMTP
smtp_host_placeholder,par exemple: ssl: //smtp.hostmail.com
smtp_port_label,SMTP Numéro de port
smtp_enable,SMTP Activer?
smtp_user_label,SMTP utilisateur
smtp_pass_label,Mot de passe SMTP
lang_active,actif
dashboard_label,Tableau de bord
cannot_deactive,"Désolé, il ne peut pas être désactivé."
err_symbol_exist,Le symbole de langue existe déjà dans le système
new_user_acc,Votre nouveau compte utilisateur a été créé. Bienvenue sur Flutter Restaurant. Veuillez vérifier avec le code ci-dessous pour activer votre compte.
verify_code_label,Code vérifié
restaurant_branch_module,Branches de restaurant
shop_rates_module,Restaurant le mieux noté
reservation_module,Réservations
trans_status_module,Statut de la transaction
deli_status_module,Statut de livraison
payment_status_module,Statut de paiement
deliboys_module,Delivery Boy Management
add_on_module,Ajouter
shipping_areas_module,Zone d'expedition
app_configs_module,Paramètre d'application
food_add_img,Ajouter une image
food_add_name,Ajouter le nom
food_add_description,La description
food_add_price,Prix
food_additional_info,Informations complémentaires
err_food_add_name,Veuillez indiquer le nom du complément.
err_food_add_len,La longueur du nom du module complémentaire doit être supérieure à 4
err_food_add_exist,Le nom du module complémentaire existe déjà
food_additional_add,Ajouter Ajouter sur
additional_search,Recherche Add On
additional_edit,Modifier l'ajout
success_additional_edit,Le module complémentaire a été mis à jour avec succès.
success_additional_add,Le module complémentaire a été ajouté avec succès.
success_additional_delete,Le module complémentaire a été supprimé avec succès.
branch_name,Nom
branch_description_label,La description
branch_address_label,Adresse
branch_phone_label,Téléphone
branch_info,Informations sur la succursale du restaurant
branch_img,Restaurant Branch Photo
err_branch_name,S'il vous plaît nom de la succursale du restaurant
err_branch_len,La longueur du nom de la succursale du restaurant doit être supérieure à 4
err_branch_exist,La succursale du restaurant existe déjà
err_branch_description,Veuillez fournir une description du restaurant
err_branch_address,Veuillez fournir l'adresse de la succursale du restaurant
err_branch_phone,Veuillez fournir le numéro de téléphone du restaurant.
branch_add,Ajouter une branche de restaurant
branch_search,Rechercher une succursale de restaurant
success_branch_edit,La succursale du restaurant a été mise à jour avec succès.
success_branch_add,La succursale du restaurant a réussi
success_branch_delete,La succursale du restaurant a été supprimée.
deli_status_title,Titre
deli_status_add,Ajouter un statut de livraison
err_deli_status_name,Veuillez indiquer le titre du statut de livraison
err_deli_status_len,La longueur du titre du statut de livraison doit être supérieure à 4
err_deli_status_exist,Delivery Status is already exist
deli_status_search,Rechercher l'état de livraison
deli_status_edit,Modifier le statut de livraison
success_deli_status_edit,Le statut de livraison a été modifié avec succès.
success_deli_status_add,Le statut de livraison a été ajouté avec succès.
success_deli_status_delete,Le statut de livraison a été supprimé avec succès.
deli_status_yes_all_message,Voulez-vous vraiment supprimer ce statut de livraison?
delete_deli_status_label,Excluir status da entrega?
pay_status_info,Informations sur l'état du paiement
err_pay_status_name,Veuillez indiquer le titre du statut de paiement
err_pay_status_len,La durée du statut de paiement doit être supérieure à 4
err_pay_status_exist,Le statut de paiement existe déjà.
pay_status_add,Ajouter un statut de paiement
pay_status_search,Rechercher l'état du paiement
pay_status_edit,Modifier l'état du paiement
success_pay_status_edit,Le statut de paiement a été modifié avec succès
success_pay_status_add,Le statut de paiement a été ajouté avec succès
success_pay_status_delete,Le statut de paiement a été supprimé avec succès.
delete_pay_status_label,Supprimer le statut de paiement?
pay_status_yes_all_message,Voulez-vous vraiment supprimer ce statut de paiement?
trans_status_info,Informations sur l'état de la transaction
err_trans_status_name,Veuillez fournir le titre du statut de la transaction
err_trans_status_len,La longueur du statut de transaction doit être supérieure à 4
err_trans_status_exist,Le statut de la transaction existe déjà
trans_status_search,Statut de la transaction de recherche
trans_status_add,Ajouter un statut de transaction
delete_trans_status_label,Supprimer le statut de la transaction?
trans_status_edit,Modifier le statut de la transaction
success_trans_status_edit,Le statut de la transaction a été modifié avec succès.
success_trans_status_add,La transaction a été ajoutée avec succès.
success_trans_status_delete,Le statut de la transaction a été supprimé avec succès.
trans_status,Statut des transactions:
trans_status_yes_all_message,Voulez-vous vraiment supprimer ce statut de transaction?
shp_area_price,Prix
err_shp_area_name,Veuillez expédier le nom de la zone
shp_area_info,Informations sur la zone d'expédition
shp_area_add,Ajouter une zone d'expédition
err_shp_area_exist,La zone d'expédition existe déjà
success_shp_area_edit,La zone d'expédition a été modifiée.
shp_area_edit,Modifier la zone d'expédition
success_shp_area_add,La zone d'expédition a été ajoutée avec succès.
success_shp_area_delete,La zone d'expédition a été supprimée.
shp_area_name,Nom de zone
shp_area_search,Zone d'expédition
err_shp_area_len,La longueur de la zone d'expédition doit être supérieure à 4
delete_shp_area_label,Supprimer la zone d'expédition?
shp_area_delete_confirm_message,Voulez-vous vraiment supprimer cette zone d'expédition?
app_config_info,Informations sur les paramètres de l'application
success_app_config_edit,Le paramètre d'application a été mis à jour avec succès.
app_configs_module,Paramètre d'application
module_group_lang,Groupe de modules
group_name,Nom du groupe de modules
group_icon,Icône de groupe de modules
group_lang_key,Clé de langue
group_info,Informations sur le groupe de modules
group_search,Groupe de modules de recherche
group_add,Ajouter un groupe de modules
success_group_edit,Le groupe de modules a été modifié avec succès
success_group_add,Le groupe de modules a été ajouté avec succès
group_edit,Modifier le groupe de modules
success_group_delete,Le groupe de modules a été supprimé avec succès
err_group_name,Veuillez fournir le groupe de modules
err_group_len,La longueur du nom du groupe de modules doit être supérieure à 4
err_group_exist,Le nom du groupe de modules existe déjà
module_lang,Module
module_desc,La description
module_ordering,Commande
module_add,Ajouter un module
module_info,Informations sur le module
module_name,Nom du module
is_show_on_menu,Est-ce que Show On Menu?
module_lang_key,Clé de langue du module
module_select_group,Sélectionnez le groupe de modules
delete_module_label,Supprimer le module?
module_delete_confirm_message,Voulez-vous vraiment supprimer ce module?
delete_group_label,Supprimer le groupe de modules?
group_delete_confirm_message,Voulez-vous vraiment supprimer ce groupe de modules?
err_module_name,Veuillez fournir le nom du module
err_module_len,La longueur du nom du module doit être supérieure à 4
err_module_exist,Le nom du module existe déjà
module_search,Nom du module de recherche
success_module_edit,Le module a été mis à jour avec succès.
success_module_add,Le module a été ajouté avec succès.
module_edit,Modifier le module
success_module_delete,Le module a été supprimé avec succès.
prd_ordering,Commande
prd_ingredient,Ingrédient
prd_nutrient,Nutritive
delete_system_user_label,Supprimer l'utilisateur système?
system_user_delete_confirm_message,Voulez-vous vraiment supprimer cet utilisateur système?
color_code,Couleur de l'état de la transaction
deli_status_ordering,Commande
final_stage,Étape finale
final_stage_delete,L'étape finale n'est pas en mesure de supprimer.
start_stage_delete,L'étape de démarrage n'est pas en mesure de supprimer.
fcm_api_key_deli_boy_label,Delivery Boy fcm api key
policy_info,Informations sur la politique de confidentialité
content_label,Contenu
privacy_policy_module,Politique de confidentialité
success_policy_edit,La politique de confidentialité a été mise à jour avec succès
success_policy_add,La politique de confidentialité a été ajoutée avec succès
not_yet_activate,Votre compte n'est pas encore activé.
user_status,Statut de l'utilisateur
order_submit,Commande soumise
deliveried,Livré
delete_deliboy_label,Supprimer garçon de livraison?
deliboy_delete_confirm_message,Êtes-vous sûr de vouloir supprimer cette Livreur?
success_deliboy_delete,garçon de livraison a été supprimé
price_level,Niveau de prix
highlighted_info,Informations surligné
restaurant_version,Flutter Restaurant Version
deliboy_version,Version du livreur
err_user_phone_exist,Le téléphone utilisateur existe déjà.
razor_enabled_label,Est-il activé Razor?
razor_label,[Option 6]: Paiement avec Razor
razor_key_label,Razor Key
banktransfer_label,[Option 3]: Paiement par virement bancaire
err_user_phone_exist,Le téléphone utilisateur existe déjà.
about_me,À propos de moi,
trans_prd_checkout,"Désolé, l'un de vos produits sélectionnés n'est pas disponible dans notre système."
img_configuration,Configuration d'image
land_width_label,Largeur du paysage
potrait_height_label,Hauteur du portrait
square_label,Hauteur carrée
user_banned,"Désolé, votre compte est interdit."
err_user_not_existed,Votre compte n'est pas existé dans le système.
err_lat_lng,Latitude et Longitude ne doivent pas être 0.0.
record_not_found,000 ## Désolé
no_record_pagination,10002 ## Désolé
email_verification_enabled, Vérification email activé?
minimum_order_amount, Montant minimum de commande
approve_message_1,Félicitation! Livraison approuvé Boy (
approve_message_2,)
reject_message_1,Désolé! Delivery Boy Rejeté (
reject_message_2,)
banusers_module,Ban Liste des utilisateurs
btn_view,Vue
btn_back,Arrière
user_auto_approved, "Votre nouveau compte d'utilisateur a été créé. Bienvenue sur Flutter Restaurant."
reservation_lang_module,Réservations
restaurant_branches_module,Branches de restaurants
resv_info,Informations de réserve
resv_date_label,Date de réservation (JJ / MM / AAAA)
resv_time_label,Temps de réserve (HH: MM) Format 24 heures
reserved_by,Réservé par
resv_note,Remarque additionnelle
resv_status,État de la réservation
trans_delivery_pickup_date,Date de ramassage de livraison: 
trans_delivery_pickup_time,Heure de ramassage de livraison: 
pickup_message,Message de ramassage
pickup_label,[Option 6]: Paiement avec ramassage
pickup_enabled,Le ramassage est-il activé?
cus_pick_up_order,Le client ramassera cette commande.
success_logout,L'utilisateur a été avec succès fermeture de session.
paystack_setting,Réglage Paystack,
paystack_label,[Option 7]: Paiement avec Paystack,
paystack_key_label,Paystack clé,
paystack_enabled_label,Paystack est activé?,
btn_duplicate,Dupliquer
success_prd_duplicate_add,L'élément en double a été ajouté avec succès,
err_lat,S'il vous plaît fournir Latitude,
err_lng,S'il vous plaît fournir Longitude,
err_lat_lng,Votre Latitude et Longitude ne doivent pas être 0.0,
lat_invlaid,La latitude doit être compris entre -90 et 90 degrés inclus.,
lng_invlaid,Longitude doit être comprise entre -180 et 180 degrés inclus.,
maximum_order,ordre maximum
pls_maximum_order,Pour commander maximum
deeplink_section,Section des liens profonds,
dyn_link_key_label,Clé de lien dynamique,
dyn_link_url_label,URL de lien dynamique,
dyn_link_package_name_label,Nom du package de liaison dynamique,
dyn_link_domain_label,Domaine de liaison dynamique,
dyn_link_deep_url_label,URL de lien profond,
prd_dynamic_link_label,Lien dynamique du produit,
dyn_link_package_name_ios, Dynamique en liant le nom de package IOS
dyn_link_ios_appstore_id,Dynamic Linking IOS Id AppStore
prd_image,Image du produit
